,K1,K2,tau1,tau2
b1_l,5.07576648746,4.84382388474,5.11945677811,4.82538234698
b2_l,0.0327825640932,0.0247945158085,0.215047154301,0.215028116167
b3_l,0.0611667132383,0.0690558071697,0.342809602708,0.371182829637
i1_l,0.0728091328401,0.0297338226805,35.6646970164,0.214131054574
i2_l,745.867625119,0.0226563501699,89588.4757418,0.0843444683813
iii1_l,3.79550439048,3.80608656138,0.444160343427,0.447706702847
iii3_l,0.0768187074593,0.104923023912,0.26684969771,0.80696261897
hg1_l,33.4259510201,0.0265643191167,24811.8838707,0.276771500433
hg2_l,1.78888559011,1.78052695359,0.999655561689,1.00891751379
hg3_l,14.4813588525,-0.00160825823111,24265.5954015,0.234723789468
hg4_l,0.104386525647,0.104973568492,0.156157337591,0.168790391707
b1_r,10.3469440823,10.3074535646,1.41428386628,1.39866611765
b2_r,-2.49199555939,-2.49654208451,0.86895753158,0.875127461065
b3_r,3.99574864436,4.01568130055,0.434876472579,0.439303568136
i1_r,3.11833565443,2.71958997358,10.0395560114,8.17167049634
i2_r,0.365462885585,0.40085048684,0.675381102932,0.716887636801
iii1_r,2.67573383462,2.67124514727,0.42210724765,0.424565259191
iii3_r,0.332311368071,0.317183846884,0.796675175631,0.831740164385
hg1_r,-0.00225998476646,0.0180111350583,0.813806536165,0.813622820222
hg2_r,2.14912144278,2.15371352191,1.35171151512,1.37509630407
hg3_r,-0.000560978572477,0.000846715338395,0.00013460786098,-2.08100538978
hg4_r,5.9785197138,5.99462476196,0.395465113963,0.397635138923
