,K1,K2,muscle,stimulus,tau1,tau2,tau_a,tau_i,theta
b1_l,75.0403671793,-74.942149151,b1_l,pitch_up,1.50698494061,1.50002039842,1.50002039842,1.50698494061,0.234291740019
b2_l,75.0339054703,-74.977870682,b2_l,pitch_up,1.03122625541,1.03003433934,1.03003433934,1.03122625541,1.0
b3_l,75.0164144835,-75.0433630133,b3_l,pitch_up,1.49941169103,1.49798812555,1.49798812555,1.49941169103,5.50911299834e-42
i1_l,74.8891023701,-74.9618274186,i1_l,pitch_up,0.453080773277,0.452573788107,0.452573788107,0.453080773277,6.42952214605e-21
i2_l,149.99999998,-50.2547182985,i2_l,pitch_up,-111.060890433,-38.3616953509,-38.3616953509,-111.060890433,1.35316607827e-38
iii1_l,74.9523653762,-75.0439345318,iii1_l,pitch_up,1.54524440028,1.54524498943,1.54524498943,1.54524440028,6.36857712508e-16
iii3_l,74.9648915479,-74.9929330913,iii3_l,pitch_up,0.434367648031,0.435746598092,0.435746598092,0.434367648031,1.87244067826e-14
hg1_l,74.8168359346,-74.9179610867,hg1_l,pitch_up,0.424727263154,0.42426922865,0.42426922865,0.424727263154,1.50497409206e-34
hg2_l,74.4395374863,-75.5554842192,hg2_l,pitch_up,7.25808516284,7.40330522306,7.40330522306,7.25808516284,0.119999873761
hg3_l,75.0,-75.0,hg3_l,pitch_up,1.0,1.0,7.40330522306,7.25808516284,0.5
hg4_l,149.999991487,-54.6444011759,hg4_l,pitch_up,130.190482793,45.9220115371,45.9220115371,130.190482793,3.06355159816e-36
b1_r,75.1114139299,-74.9725967413,b1_r,pitch_up,1.73936727919,1.72914898526,1.72914898526,1.73936727919,7.17257142162e-25
b2_r,75.1196478123,-149.999983281,b2_r,pitch_up,104.08327071,210.854867484,210.854867484,104.08327071,1.0
b3_r,75.0363490562,-74.9589137704,b3_r,pitch_up,2.63248621561,2.62175726804,2.62175726804,2.63248621561,0.599996594485
i1_r,149.999995483,-68.4699995161,i1_r,pitch_up,91.9450993295,40.5844387637,40.5844387637,91.9450993295,4.77801823869e-37
i2_r,149.99996405,-59.5611290282,i2_r,pitch_up,138.74589776,52.7866562984,52.7866562984,138.74589776,6.434120899e-38
iii1_r,74.9714409623,-75.0286591626,iii1_r,pitch_up,0.655238261682,0.655049811697,0.655049811697,0.655238261682,0.528741933623
iii3_r,75.0213236094,-74.974161351,iii3_r,pitch_up,0.898013872726,0.898276424984,0.898276424984,0.898013872726,0.0762673368234
hg1_r,75.1697812241,-74.8333951741,hg1_r,pitch_up,3.89338297169,3.85586118313,3.85586118313,3.89338297169,1.56160071832e-20
hg2_r,74.9116709427,-75.088264552,hg2_r,pitch_up,2.72813457559,2.73920079494,2.73920079494,2.72813457559,0.339997920465
hg3_r,75.0187308422,-74.9792126746,hg3_r,pitch_up,0.699232810655,0.699232808524,0.699232808524,0.699232810655,2.25410399726e-34
hg4_r,75.1476538163,-75.1786297505,hg4_r,pitch_up,0.964682716274,0.962686126024,0.962686126024,0.964682716274,0.639092455611
