,K1,K2,tau1,tau2,theta
b1_l,5.06080941186,5.00264372878,2.29908857042,2.2374962737,0.0580264702263
b2_l,12.0031613225,4.81786979541,220.777555608,88.618179118,-5.75522923156
b3_l,1.10126715315,1.06242757323,3.30188636902,3.07400622321,0.627063642176
i1_l,0.009554577141,0.0521908665649,0.146162879685,0.146251171513,0.157470994347
i2_l,0.207781156865,0.105809031284,4.65573471562,1.80470820098,0.219999947475
iii1_l,0.0877508949095,0.102966952945,0.614947217244,0.614973572859,0.827488958841
iii3_l,0.163671953526,0.167557808949,0.334647752334,0.709582007432,0.10702339169
hg1_l,0.0141703096632,0.0453501513662,12.2889194313,0.224406052733,0.120000021216
hg2_l,1.03142337984,1.02327754158,0.651119257729,0.659487421856,0.442285218047
hg3_l,0.0163753082071,0.00346681602533,19.3221964593,0.0437335724386,0.00744780995762
hg4_l,20.1013844171,0.167334996203,901.006341433,4.97115432823,-0.108096338486
b1_r,8.80496084599,8.7913958958,1.23533882868,1.21721005548,0.0671079465279
b2_r,-1.88035218472,-1.88541861422,0.37952979716,0.383016502894,0.847222770424
b3_r,5.49998260544,5.51767589706,0.457428763434,0.461230574842,0.140386157797
i1_r,0.09913859858,0.139451972223,0.790768356133,0.869432799139,0.0399999494763
i2_r,7.06087297875,7.08963058629,0.671248868359,0.676392334442,-0.237560475543
iii1_r,2.70623442731,2.70239057718,0.335971947714,0.338141761297,0.378519678813
iii3_r,0.654417089143,0.631980440031,0.922370177073,0.949397824335,-0.010124953397
hg1_r,-0.0412251712576,-0.0132753750263,0.587978946842,0.37166561918,0.0799997841904
hg2_r,-1.82868070225,-1.83319753323,0.0894741309096,0.0905076070609,0.193174456751
hg3_r,-3.67879685008,-9.50958972734,107.891487743,287.205793885,-9.78009610342
hg4_r,0.109251092715,0.127228952196,0.19159781077,0.22304776054,0.797319915434
