,K1,K2,muscle,stimulus,tau1,tau2,tau_a,tau_i,theta
b1_l,6212.65035881,-150.0,b1_l,pitch_up,2009.17846354,47.99735605,47.99735605,2009.17846354,1.0
b2_l,82.7720420015,-66.9410965173,b2_l,pitch_up,5.72834482634,4.63274510905,4.63274510905,5.72834482634,0.655327649716
b3_l,75.058535639,-74.8159676521,b3_l,pitch_up,2.36470023907,2.335396827,2.335396827,2.36470023907,6.46886817134e-37
i1_l,75.0813378808,-74.9646995146,i1_l,pitch_up,0.927068193894,0.922294380439,0.922294380439,0.927068193894,8.3485474065e-15
i2_l,75.2423390183,-75.0690110243,i2_l,pitch_up,0.471524666964,0.469192708101,0.469192708101,0.471524666964,0.0332795674668
iii1_l,149.99999242,-53.5964030418,iii1_l,pitch_up,82.2271749663,28.0879175007,28.0879175007,82.2271749663,1.39017166364e-35
iii3_l,74.8654848548,-74.8417611664,iii3_l,pitch_up,0.195371790503,0.195515219363,0.195515219363,0.195371790503,0.0707524172079
hg1_l,74.8608402318,-74.8141937833,hg1_l,pitch_up,0.963265264882,0.959918585673,0.959918585673,0.963265264882,6.17953155489e-24
hg2_l,75.1546029909,-74.8452032713,hg2_l,pitch_up,1.60887976676,1.60887983028,1.60887983028,1.60887976676,0.271178265152
hg3_l,74.9811514512,-74.9266584633,hg3_l,pitch_up,0.521628392768,0.521845227807,0.521845227807,0.521628392768,0.000101373694393
hg4_l,149.999468826,-70.2300675464,hg4_l,pitch_up,60.1139023425,27.0297771042,27.0297771042,60.1139023425,0.380019317826
b1_r,76.8215132487,-73.2560565298,b1_r,pitch_up,4.74054644388,4.43948617128,4.43948617128,4.74054644388,0.879490635037
b2_r,125.450827071,-122.190664733,b2_r,pitch_up,1.27838578138,1.2305957878,1.2305957878,1.27838578138,1.0
b3_r,75.0299200111,-74.9688868344,b3_r,pitch_up,1.32201079711,1.31175322314,1.31175322314,1.32201079711,0.73242846087
i1_r,75.1724147521,-74.8276860413,i1_r,pitch_up,1.63018691894,1.62319954016,1.62319954016,1.63018691894,0.0599968487203
i2_r,55.087466166,-149.999996468,i2_r,pitch_up,13.4766083234,41.0526298307,41.0526298307,13.4766083234,0.411576097195
iii1_r,149.999990907,-79.2097078713,iii1_r,pitch_up,49.8313344813,25.0126409133,25.0126409133,49.8313344813,1.40973747097e-35
iii3_r,75.1046599529,-74.8789722017,iii3_r,pitch_up,2.98876037706,2.96140786553,2.96140786553,2.98876037706,2.41205327611e-39
hg1_r,75.0620112996,-74.9309500024,hg1_r,pitch_up,1.09347361921,1.0910599428,1.0910599428,1.09347361921,0.98000016283
hg2_r,75.3749557157,-74.9991526809,hg2_r,pitch_up,1.05645490465,1.05313529807,1.05313529807,1.05645490465,0.156792852449
hg3_r,149.999987762,-97.1399041075,hg3_r,pitch_up,46.9996998636,30.4371085908,30.4371085908,46.9996998636,0.688187353254
hg4_r,149.999946591,-61.8402006192,hg4_r,pitch_up,-128.587328767,-54.1746267569,-54.1746267569,-128.587328767,3.06441383573e-38
