,K1,K2,tau1,tau2,theta
b1_l,0.424307692196,0.404592143436,0.233699353007,0.253109705701,0.173951082862
b2_l,1.05475057622,0.76465611619,1.85242397165,1.34320998065,1.28608039829
b3_l,0.206992993445,0.247497396314,0.153560875354,0.182902405209,0.184050566261
i1_l,0.207337069974,0.133497109774,2.08487864748,0.460664054425,0.146573232868
i2_l,1.05484264042,0.940476516046,0.455005920594,0.405855904243,0.620510269354
iii1_l,0.180375054544,0.0471599075153,11.8767530785,1.06811035007,0.0799956875621
iii3_l,11.87349477,4.65578321452,206.460419326,80.9592357934,-6.88466918319
hg1_l,346.977709124,0.0412076059272,24945.1636245,0.250922564007,0.133615797052
hg2_l,0.101902822216,0.00280612335928,3.06160017392,0.0910374798431,0.328984877196
hg3_l,-0.00972503220935,-0.0268620552295,0.174796485295,2.73707961369,-0.0203919809917
hg4_l,1.71047824709,1.72094422065,2.42760676736,2.35523451396,-0.117785540611
b1_r,6.08909867029,6.12058004641,0.283875334663,0.289161689257,0.293359537445
b2_r,65.1785052128,32.8809754226,35.5079003558,17.4438023486,0.886712968978
b3_r,16.7455244911,16.7866971211,0.215631793601,0.216900479109,0.448276359123
i1_r,0.680990578457,0.55197053558,1.47905329059,1.1989986521,0.445290967626
i2_r,0.196892161621,-0.0371571997064,0.711142161341,0.711142064385,0.677969068843
iii1_r,0.368863851217,0.403453629059,0.459382585842,0.502149769833,0.00603463915063
iii3_r,2.34439221916,2.37008290126,0.181435694573,0.1852566123,0.0348271979772
hg1_r,2.17163534107,2.10204143907,2.74860868229,2.60971860002,-0.515927312494
hg2_r,0.209968248991,0.0944937988947,1.1313105107,0.71460058401,0.340000004393
hg3_r,429.79586207,132.231575953,489.961443199,149.917482337,-0.146400373282
hg4_r,0.536793642977,0.541555878186,0.193167939605,0.199496163137,0.174095962984
