,K1,K2,tau1,tau2
b1_l,0.0120089739292,0.0233671808288,0.183739627379,0.183722609757
b2_l,2.67745812992,2.67864040753,0.678072172399,0.681880519218
b3_l,-0.66951532553,-0.686638609899,0.396503489342,0.402516222676
i1_l,0.109209475073,-0.0555616251132,8.08491273068,8.08745714067
i2_l,0.115458738706,0.0133693490883,3.02512276492,0.219072964481
iii1_l,0.64308182576,0.645505171773,0.202291687581,0.198750305354
iii3_l,9.45166758238,9.51607002936,0.745320020954,0.75140423312
hg1_l,2.9607542296,2.94700492094,0.903508687214,0.886478379489
hg2_l,0.0274599666993,0.0109304896136,0.573292956144,0.098697385992
hg3_l,-0.00398019541186,4.13797202912,0.835042267523,17606.6832344
hg4_l,0.0325593646773,0.0276078858901,3.79978775138,0.504694473959
b1_r,0.885448930844,0.891943460685,1.43933751751,1.46194983106
b2_r,0.0193374849624,123.775083563,0.651609102331,30278.66929
b3_r,3.31377247582,3.35658160247,0.970203814788,0.979395365171
i1_r,0.145763116804,0.189874850828,0.388864859643,0.417319531879
i2_r,39.2842646352,0.111484286168,2594.60048145,2.18476431708
iii1_r,32.5717455409,0.546336879477,801.299080026,11.6281744651
iii3_r,-18.8149785028,-0.0169821968896,9396.10013725,1.12935775817
hg1_r,-0.0131058507909,0.00829176409475,0.161625461707,0.485846942037
hg2_r,-0.0111402096635,-0.0434063752588,0.102007304494,1.50318092886
hg3_r,0.739091432744,0.00222956252208,118.496311182,0.0296349361231
hg4_r,1.89461364569,1.98226948591,3.09084586832,3.23354250285
