,K1,K2,tau1,tau2,theta
b1_l,64.6056357463,20.0909995181,209.799921505,63.2804845514,-0.697130262731
b2_l,2.41621670653,2.41687657407,0.460903058263,0.464130579891,0.252436403368
b3_l,-0.0185108501223,-0.0356617171633,0.34295338885,0.478090449813,0.0200154324034
i1_l,0.0840476118927,0.0154024557025,1.72556075924,0.0399140998386,0.172650027796
i2_l,0.0972037436408,0.00331086236338,2.59087956906,0.000450548490687,0.319790195405
iii1_l,319.145842074,97.1142995334,526.131656996,158.739037852,-0.502935616255
iii3_l,0.310743493717,0.373675039605,0.605669080093,0.727997490235,0.252759195713
hg1_l,0.0321761567361,0.0257591438908,0.821439844465,1.23255320971,2.12790033927
hg2_l,0.0223151165928,0.00607975439309,0.474390876557,0.0249036567241,0.177259771781
hg3_l,-0.00344483997251,4.75560546869,0.526411649701,12222.9540314,0.134948033838
hg4_l,-0.00552183665646,0.00664403168726,0.00121228313465,0.161548362383,0.0198318694338
b1_r,-0.0455939281926,0.00104479353553,0.128642907802,2.11511042001,3.96000004792
b2_r,0.0155568022403,112.342825177,0.319238277783,35876.6087762,0.17874419136
b3_r,0.359861430228,0.403462213681,0.966213036922,1.08313302535,-0.315546712927
i1_r,0.103069384013,0.147121325156,0.432761521923,0.446694477988,0.0327062537456
i2_r,0.00637023689201,0.0433751327623,0.000842626247942,0.574800080744,0.0996559084624
iii1_r,261.794910031,79.9225870794,474.209433502,143.404277401,-0.380697199376
iii3_r,55.9827135936,185.711466642,121.497477061,409.682744066,-0.324711991931
hg1_r,-0.00620320700178,0.015212429101,0.557868992459,0.0714174610649,0.0939142406592
hg2_r,0.0390121932903,0.00770978017294,1.37019508715,0.0149434455601,0.171639631462
hg3_r,94.5375776391,30.4874125586,596.798804137,186.111150603,-18.07818912
hg4_r,0.103683696684,0.152123555162,1.34583681457,1.97449211024,0.456906874765
