,K1,K2,tau1,tau2
b1_l,0.0253177817212,0.00735841860515,0.568736246549,0.064544613674
b2_l,0.894813235295,0.976394401886,4.41848599193,5.14992062016
b3_l,0.0080124858406,0.0652762745608,0.0539919581966,1.51662899407
i1_l,0.687176772862,0.731369501784,0.666404654589,0.639274995273
i2_l,0.10648231458,0.140601858789,0.119201968204,0.223458259652
iii1_l,-0.0236447773065,-0.0389263138249,0.541918626157,2.59435436261
iii3_l,-0.0065391550445,-21.9201808089,0.592670192142,10591.5064331
hg1_l,-4.31073530533,-4.29833042285,0.770281235204,0.777466323347
hg2_l,0.110436131831,0.0134622821071,4.48528850991,0.442810525302
hg3_l,0.210947889046,0.00615332090503,5.67553335387,0.0779538127243
hg4_l,0.699403948241,0.699114318527,0.970751172522,0.986910253926
b1_r,-0.00352008362014,0.0207208380195,0.057773099646,1.94200689486
b2_r,1.1495828702,1.17122093366,0.910279295619,0.930707713894
b3_r,0.0513358000329,0.0310605053511,1.18796776348,1.18802562269
i1_r,16.7679562523,16.6629671721,0.884112558764,0.875806051146
i2_r,11.1150997183,10.8480446485,1.39401088271,1.36436614961
iii1_r,-1.03858774613,-1.03972846325,0.7638694335,0.777714645556
iii3_r,0.0248438937187,0.067754831163,0.156473122013,1.01139488115
hg1_r,0.0746220154921,0.0394881342158,1.70009657884,0.549116386666
hg2_r,7.12295584764,7.05328849505,1.00804888114,0.998034722597
hg3_r,13.7546059062,0.0105390627358,6720.39977113,0.738723963825
hg4_r,-0.0161413761841,0.0113404192032,0.443215614183,4.79918249466
