,p_value,t_value
b1_l,4.33028247489e-12,-7.17198428713
b2_l,8.11809453838e-64,-20.9013620373
b3_l,1.35759924303e-96,29.251049633
i1_l,1.06757580138e-128,38.4752969507
i2_l,3.17495626335e-102,30.7776255903
iii1_l,1.90309332198e-93,28.4122868118
iii3_l,9.59833300291e-60,19.9050367228
hg1_l,3.85638009326e-89,27.2797344655
hg2_l,1.50238883396e-43,-15.9457488247
hg3_l,8.58294365077e-54,18.4537404484
hg4_l,0.156383899069,1.42034849171
b1_r,4.13117470673e-112,33.5449362145
b2_r,3.37303928494e-46,16.5977398832
b3_r,4.73322084128e-25,-11.176292486
i1_r,1.1327232426e-58,-19.6433936048
i2_r,4.050781556e-58,-19.5083789423
iii1_r,2.07678355176e-16,-8.63085601938
iii3_r,2.55429087641e-66,21.5158918947
hg1_r,5.19769894272e-16,-8.50331657637
hg2_r,2.84086377676e-52,-18.0831860153
hg3_r,1.17870704552e-106,32.0034071249
hg4_r,1.63824668978e-117,35.1086203325
