,muscle,rvalue decay,rvalue onset,slope decay,slope onset
b1_l,b1_l,-0.82023129709,0.608078302353,-0.0513390405662,0.0401637289478
b2_l,b2_l,0.986736590516,-0.981918552987,0.168758660514,-0.24551323807
b3_l,b3_l,-0.97843871614,0.973693868419,-0.184920067464,0.309400978428
i1_l,i1_l,-0.963803241262,0.994565284966,-0.452347718465,0.642167514246
i2_l,i2_l,-0.968224305908,0.986179928541,-0.265255071362,0.658970936507
iii1_l,iii1_l,-0.819783671447,0.978938196712,-0.159722844854,0.334404433937
iii3_l,iii3_l,0.941004537331,-0.944338906483,0.452417360475,-0.726954823721
hg1_l,hg1_l,-0.956903680787,0.991116070553,-0.323872800354,0.471526909252
hg2_l,hg2_l,-0.968984932046,0.995145311504,-0.174200138995,0.345040102071
hg3_l,hg3_l,0.0,0.653103851862,0.0,0.0683140455988
hg4_l,hg4_l,-0.575150347573,0.88104467699,-0.0855392139643,0.311655220119
b1_r,b1_r,0.881708732043,0.720835074131,0.0516346918575,0.0689649175285
b2_r,b2_r,-0.949551382309,0.977994544262,-0.196106349578,0.351151845072
b3_r,b3_r,0.774181295814,-0.786727085754,0.122186645255,-0.29351971017
i1_r,i1_r,-0.754650518575,-0.261937025767,-0.0251819127159,-0.0161327612442
i2_r,i2_r,-0.461040289701,0.241381929327,-0.0104509510425,0.0111265468744
iii1_r,iii1_r,-0.874632552842,0.992385405584,-0.165554282473,0.399798626325
iii3_r,iii3_r,-0.946551448358,0.936536998332,-0.0690640142262,0.236351185748
hg1_r,hg1_r,-0.924154537082,0.836652892153,-0.0612971000502,0.0562290332866
hg2_r,hg2_r,-0.966161656278,0.986932447052,-0.109782344704,0.202946138137
hg3_r,hg3_r,0.505621546879,-0.779756501363,0.0188440584067,-0.0413568656295
hg4_r,hg4_r,0.954892872204,-0.906494236137,0.052311857652,-0.236718602875
