,K1,K2,tau1,tau2
b1_l,-2.66919255266,-2.68663812625,0.445701562908,0.449910385697
b2_l,2.08268334791,2.09969992305,0.184405813288,0.186472181037
b3_l,0.0517188739948,61.9298135376,0.607985663421,9085.6596325
i1_l,0.398133959386,267.314862021,1.06620985475,6719.83761481
i2_l,0.395271589274,1320.38917371,1.13370606579,28076.3092692
iii1_l,0.0209257154493,-0.0632799700122,0.824799167395,0.82485239967
iii3_l,377.083664451,0.173354240398,50560.4651068,0.274854463226
hg1_l,-8.89186493967,-9.0204316756,0.596507075138,0.60055595617
hg2_l,0.158401740297,0.00656423517565,2.22352514011,2.22351859568
hg3_l,661.781278119,194.323541839,758.389677532,227.540823181
hg4_l,7.01959165246,7.02282348666,0.848275903768,0.856011497012
b1_r,2.97442181993,3.00532719141,1.08594142848,1.09798924904
b2_r,9.0032427427,9.02790609343,2.15804187442,2.20028806083
b3_r,0.0795822323086,0.0433839046279,3.75515187859,0.0994149156396
i1_r,-0.0566946920272,-0.107305444068,0.295037887468,0.924230576403
i2_r,-13.5424194663,-13.6481771132,0.551047041672,0.555667382173
iii1_r,0.0694303286504,-0.0341593440099,1.30530765605,1.30532605086
iii3_r,0.0148891005849,-0.0544977660169,0.000703103993767,1.20337440563
hg1_r,-0.982633870782,-1.0336926504,0.686102085381,0.721784277593
hg2_r,0.074417413986,-0.0313071837209,1.54213115378,1.54207975536
hg3_r,-0.00271295028235,0.00986867786506,0.293732374345,1.81564515687
hg4_r,-0.0170812247723,530.69418529,0.0634733681838,41938.6783254
