,K1,K2,muscle,stimulus,tau1,tau2,tau_a,tau_i,theta
b1_l,63.4319099739,-63.5218826406,b1_l,yaw_right,5.44362577663,5.46015587336,5.46015587336,5.44362577663,0.0169885817599
b2_l,47.2989205403,-47.2791383272,b2_l,yaw_right,2.21783080733,2.21382602866,2.21382602866,2.21783080733,0.148540662971
b3_l,61.7023193976,-61.6604415485,b3_l,yaw_right,0.830501155454,0.83132347735,0.83132347735,0.830501155454,1.14811898267e-40
i1_l,0.444827629856,-22.2446084827,i1_l,yaw_right,1.17838481513,474.344868235,474.344868235,1.17838481513,0.0159129627499
i2_l,0.402260711054,-149.999959898,i2_l,yaw_right,1.05045946466,3637.69819558,3637.69819558,1.05045946466,4.86913006997e-31
iii1_l,2.60810773715,-2.62596006428,iii1_l,yaw_right,2.61141441607,2.88227466556,2.88227466556,2.61141441607,0.0861765964961
iii3_l,234.614982408,-0.206518262117,iii3_l,yaw_right,25229.0570656,0.326340193899,0.326340193899,25229.0570656,0.00609347884083
hg1_l,0.129360048539,,hg1_l,yaw_right,0.916181199858,,0.916181199858,,0.123436822889
hg2_l,0.156867152352,,hg2_l,yaw_right,2.30135153516,,2.30135153516,,0.0194614787232
hg3_l,692.765526391,-149.999999901,hg3_l,yaw_right,916.586751778,203.28172352,203.28172352,916.586751778,2.01928813592e-38
hg4_l,0.0286013237994,-1.70708162109,hg4_l,yaw_right,0.328284314682,201.254651008,201.254651008,0.328284314682,0.0799992920402
