,K1,K2,tau1,tau2
b1_l,-1.98559226681,-2.00265810556,0.41911543033,0.422615250281
b2_l,94.0641111444,0.0349881466108,11998.6909813,0.995744406876
b3_l,3.38640057151,3.41648535516,2.1135228026,2.17080546729
i1_l,31.8290669968,32.06034693,2.96570532183,3.04429385675
i2_l,45.9344573437,47.44523142,5.51949262795,5.81310501979
iii1_l,8.76953039322,8.70779336908,0.430700647331,0.428868291145
iii3_l,10.6561459943,10.3561647993,3.73874797441,3.55269599618
hg1_l,-2.07891379661,-2.17551483756,0.496254030206,0.5106353963
hg2_l,0.137668699838,0.00179513589472,2.36205278881,0.0553946641738
hg3_l,592.937762699,174.894305941,733.92893386,221.877069347
hg4_l,5.21455452524,5.22900919298,0.795168865211,0.802680365479
b1_r,2.69553473341,2.72397553691,0.924614625731,0.934538297458
b2_r,6.13780090645,6.13829933852,1.47385908594,1.49858415979
b3_r,0.0957494307746,-0.00514444395635,5.85554879223,0.0873085123932
i1_r,-4.40639143009,-4.46426848717,0.641235494761,0.647446176153
i2_r,0.0743839407877,-0.0327461470979,1.12642148404,1.12642768668
iii1_r,17.7280144032,17.6543904798,0.461010882866,0.458829461599
iii3_r,-0.0129729358233,-0.0511031680292,0.252107565276,0.968438738568
hg1_r,-2.27710933295,-2.32699636557,0.747026345856,0.757257047144
hg2_r,17.5592645903,17.4814801789,0.46704883135,0.464749954165
hg3_r,-0.00248327050923,0.00868162918517,0.144855817107,1.97516893753
hg4_r,2.82868213667,2.90698972531,2.0690785251,2.11937175055
