,K1,K2,muscle,stimulus,tau1,tau2,tau_a,tau_i,theta
b1_r,-0.0190082848281,,b1_r,yaw_right,1.01075663254,,1.01075663254,,1.38237288837
b2_r,79.5243513902,-79.5094685282,b2_r,yaw_right,1.40363989136,1.40557136106,1.40557136106,1.40363989136,0.209624644924
b3_r,61.2119048487,-61.2200656963,b3_r,yaw_right,0.558723472169,0.557714875016,0.557714875016,0.558723472169,2.65498509861e-38
i1_r,69.8617240271,-149.842852086,i1_r,yaw_right,53.3240144784,117.046920754,117.046920754,53.3240144784,1.0
i2_r,63.2401346491,-63.3612201416,i2_r,yaw_right,3.96089725608,3.98859042475,3.98859042475,3.96089725608,0.416027736349
iii1_r,53.74312212,-149.999997991,iii1_r,yaw_right,38.9795839972,114.265051675,114.265051675,38.9795839972,0.096765103934
iii3_r,0.0872488524631,,iii3_r,yaw_right,0.885157335257,,0.885157335257,,-0.248145585533
hg1_r,63.1400417644,-63.3097139506,hg1_r,yaw_right,6.05695235644,6.0915335545,6.0915335545,6.05695235644,0.532906264565
hg2_r,54.3600528052,-62.0001684694,hg2_r,yaw_right,18.3091024479,21.3529503553,21.3529503553,18.3091024479,0.232769501903
hg3_r,-0.0144410184278,,hg3_r,yaw_right,1.12228027066,,1.12228027066,,-0.19940706524
hg4_r,64.629570836,-64.6993274845,hg4_r,yaw_right,1.3089052025,1.30890519931,1.30890519931,1.3089052025,2.38833198516e-38
