,K1,K2,tau1,tau2,theta
b1_l,-3.07731453307,-3.09503957481,0.498050896232,0.503733280365,-0.0785443408102
b2_l,-0.0495726927616,-20.7046885293,1.20897161569,2247.79385583,0.228561636823
b3_l,0.0680758832884,65.7790847413,0.502054883754,11631.013639,0.0914282467148
i1_l,0.446531633572,33.7830910493,1.17785083954,722.631683684,0.170488953859
i2_l,0.484001757037,430.688765954,1.30636623318,7544.21984528,0.0910826454936
iii1_l,-8.83206343727,-8.91726559366,0.465406207901,0.468166264095,0.214312424692
iii3_l,0.00178438895557,0.202111352998,0.225866594874,0.225797991901,0.169120204944
hg1_l,-0.0449718640029,-0.173168220256,0.179607109184,0.83259234672,0.100000227094
hg2_l,181.942575026,-0.079491610027,12412.8083221,1.23403358224,0.173316314453
hg3_l,222.392458028,65.6572828527,397.045013053,120.87407883,0.0282391864587
hg4_l,7.32206013393,7.32116135389,0.877891834323,0.886172712047,0.156573673302
b1_r,0.208137114969,0.239406771306,1.02064644531,1.17385958655,0.28616577493
b2_r,6.34237061656,6.32711843645,1.34296249004,1.36529890361,0.400096894924
b3_r,0.0781707763258,0.0681915168699,3.38800283732,0.125378699601,0.173405028603
i1_r,-0.0188188359388,-0.0547090159582,0.000559240506317,1.29540593449,0.396929313895
i2_r,-14.2717415616,-14.3845309327,0.588774030519,0.592514978618,0.281182218292
iii1_r,0.0762689171979,-0.0260383789008,1.16628161514,1.16627212587,0.29959078041
iii3_r,0.0387970974561,-0.0548708431909,0.0757426603942,1.38354407479,0.173718345286
hg1_r,-0.0267392811998,-0.0753775405323,0.203881931015,1.30060585949,0.140000252567
hg2_r,23.1530157864,45.9735580192,23.0148560627,48.9241605105,0.290517286897
hg3_r,-0.00484861497385,0.0106319620011,0.228243332944,1.78731999238,0.133911849874
hg4_r,-0.0265280547392,530.579083483,0.0774218274575,42006.9291934,0.19722147019
