,K1,K2,muscle,stimulus,tau1,tau2,tau_a,tau_i,theta
0,8.42227999332,-8.43230174879,b1_l,yaw_right,0.753680775309,0.760107999111,0.760107999111,0.753680775309,0.212178944198
0,60.6487969834,-60.785183979,b2_l,yaw_right,2.73404830895,2.7530263901,2.7530263901,2.73404830895,0.399006528292
0,47.9774042883,-48.0107447758,b3_l,yaw_right,0.352907635981,0.351730815672,0.351730815672,0.352907635981,0.216480967862
0,61.1393616665,-61.1420443739,i1_l,yaw_right,1.49535106077,1.49629637815,1.49629637815,1.49535106077,1.0
0,62.1721298917,-62.1909507942,i2_l,yaw_right,0.59088079302,0.591220167629,0.591220167629,0.59088079302,1.0
0,4.8871104105,-4.83507916576,iii1_l,yaw_right,2.18222962311,2.32730034819,2.32730034819,2.18222962311,0.28174001823
0,0.135289383727,,iii3_l,yaw_right,0.565173939479,,0.565173939479,,0.0997693563405
0,62.2285770081,-62.5591163633,hg1_l,yaw_right,8.21634596833,8.27737382716,8.27737382716,8.21634596833,0.539999356557
0,61.2935296453,-61.2624713111,hg2_l,yaw_right,2.16854446407,2.17393663542,2.17393663542,2.16854446407,0.17657497
0,-0.0127592175475,,hg3_l,yaw_right,1.30530668187,,1.30530668187,,-0.0229827211025
0,-0.0552767186245,,hg4_l,yaw_right,1.36872050445,,1.36872050445,,-0.174362344151
0,64.132262548,-64.1213860688,b1_r,yaw_right,0.856702500122,0.855672015315,0.855672015315,0.856702500122,1.74777144039e-19
0,-0.0314196557828,,b2_r,yaw_right,0.40094186872,,0.40094186872,,0.351141748653
0,70.6331782813,-70.5787528813,b3_r,yaw_right,1.24101561062,1.24327549052,1.24327549052,1.24101561062,0.134732090749
0,0.591156213705,-0.371155826542,i1_r,yaw_right,0.763627462362,1.88716432332,1.88716432332,0.763627462362,0.250194823806
0,32.3639771715,-32.0755706068,i2_r,yaw_right,0.634661735554,0.63876729756,0.63876729756,0.634661735554,0.212477253168
0,148.617668378,-0.255594171152,iii3_r,yaw_right,6621.59066124,0.348057785913,0.348057785913,6621.59066124,0.217123724594
0,56.8230571852,-56.8103138985,iii1_r,yaw_right,1.49640052497,1.50066302602,1.50066302602,1.49640052497,0.389239661675
0,64.5911102449,-64.4889604552,hg1_r,yaw_right,1.25451286962,1.25970284044,1.25970284044,1.25451286962,0.309561807863
0,0.17007311819,,hg2_r,yaw_right,0.657313485235,,0.657313485235,,0.233190169044
0,0.154986912962,,hg3_r,yaw_right,4.38282697992,,4.38282697992,,0.0323358133722
0,62.4366452237,-62.3817862516,hg4_r,yaw_right,1.03696666901,1.03950214987,1.03950214987,1.03696666901,0.134880692878
