,K1,K2,intercept,intercept_1,muscle,slope,slope_1,stimulus,tau1,tau2,tau_a,tau_i,theta
b1_l,8.32238368205,-8.33190927425,-0.00195779291056,-0.00195779291056,,0.063866770053,0.063866770053,,0.753614887716,0.760171437177,0.760171437177,0.753614887716,0.0461305235951
b2_l,63.2206791773,-63.2840844005,-0.00692775860388,-0.00692775860388,,0.0547133048827,0.0547133048827,,2.16167253127,2.17191909979,2.17191909979,2.16167253127,0.332376317664
b3_l,59.3723259333,-59.408910712,0.000227316172914,0.000227316172914,,-0.255291966616,-0.255291966616,,0.352802283034,0.35183546124,0.35183546124,0.352802283034,0.0506669015748
i1_l,61.9240083037,-62.7997274119,-0.0212435266863,-0.0232067432171,,0.0202413895087,0.021084422759,,9.98870380042,10.1563925328,10.1563925328,9.98870380042,0.919996256872
0,-632.721500137,,-0.00826662169249,-0.00826662169249,i2_l,-0.0294456698946,-0.0294456698946,yaw_right,104349.183515,,104349.183515,,-1.60381974801
i2_l,-632.721500137,,-0.00826662169249,-0.00826662169249,i2_l,-0.0294456698946,-0.0294456698946,yaw_right,104349.183515,,104349.183515,,-1.60381974801
iii1_l,64.0871956528,-64.035710236,-0.0133326462582,-0.00891020264713,,0.127751383541,0.114581034923,,2.2465034912,2.25746943609,2.25746943609,2.2465034912,0.125987097842
iii3_l,0.128029236996,,0.0090401338526,0.0090401338526,iii3_l,0.160063850721,0.160063850721,yaw_right,0.559654772929,,0.559654772929,,-0.0253295069885
hg1_l,65.3311761006,-65.3114540986,-0.00611598537495,-0.0054208733577,,0.020265661693,0.0187788974857,,0.449471661878,0.449471715922,0.449471715922,0.449471661878,0.433759304787
hg2_l,3.12388097613,-3.09118178637,0.000432856097385,-0.000133526912847,,0.0542212233299,0.055062107605,,2.0229972332,2.11511848417,2.11511848417,2.0229972332,0.0709400496459
hg3_l,63.2869209785,-63.2977653576,-0.000148367914144,-0.000269436918762,,-0.00554875168031,-0.00536749184293,,1.28711363785,1.28711052772,1.28711052772,1.28711363785,0.0399987503374
hg4_l,-0.0566460635924,,-0.00498797226083,-0.00498797226083,hg4_l,-0.055401519025,-0.055401519025,yaw_right,1.99943143617,,1.99943143617,,-0.526531860542
