,K1,K2,muscle,stimulus,tau1,tau2,tau_a,tau_i,theta
b1_r,62.9160219978,-62.8983407784,b1_r,yaw_right,0.798341704256,0.797491682099,0.797491682099,0.798341704256,0.0121546102133
b2_r,66.016216754,-66.0490791598,b2_r,yaw_right,0.402822768385,0.402822765255,0.402822765255,0.402822768385,0.171600988188
b3_r,5.07182047499,-5.0211518047,b3_r,yaw_right,1.22015566354,1.25074334588,1.25074334588,1.22015566354,0.0043468948217
i1_r,0.587899511051,-0.37032425314,i1_r,yaw_right,0.763625329296,1.88718012891,1.88718012891,0.763625329296,0.0944076813348
i2_r,24.3238779157,-24.0493758627,i2_r,yaw_right,0.614465899347,0.619506896818,0.619506896818,0.614465899347,0.0802182915491
iii1_r,64.2082720396,-64.1957707851,iii1_r,yaw_right,1.49664694086,1.50041386826,1.50041386826,1.49664694086,0.231323356753
iii3_r,215.456553233,-0.257840515412,iii3_r,yaw_right,9600.72481154,0.348051890834,0.348051890834,9600.72481154,0.0540743360351
hg1_r,56.6555389602,-56.5533504366,hg1_r,yaw_right,1.25415165687,1.26006987895,1.26006987895,1.25415165687,0.149428878293
hg2_r,0.163592402157,,hg2_r,yaw_right,0.649051538863,,0.649051538863,,0.103864540978
hg3_r,0.153017842729,,hg3_r,yaw_right,4.25330570026,,4.25330570026,,-0.138194780311
hg3_r,0.153017842729,,hg3_r,yaw_right,4.25330570026,,4.25330570026,,-0.138194780311
hg4_r,66.5763442582,-66.5278290553,hg4_r,yaw_right,1.0220850736,1.02432751758,1.02432751758,1.0220850736,0.0161991058445
