,K1,K2,tau1,tau2,theta
b1_l,8.4248063141,8.43482806938,0.753681769503,0.760107076903,0.212178838802
b2_l,0.170711367369,160.826793249,1.15884557081,5041.71826833,0.442337606481
b3_l,-0.0266956816165,0.019086877565,0.044555658453,0.044545758041,0.219965199387
i1_l,0.566274525698,0.55961000669,0.776558166337,0.808586199823,1.14666828516
i2_l,0.0145159524487,0.0367236308388,0.210813081014,1.32081288945,1.05531963352
iii1_l,-0.485640003732,-0.63467522839,0.401931981487,0.48958475371,0.239999984982
iii3_l,-0.00294791200416,-0.138131578262,0.558164663196,0.558110607846,0.105493532173
hg1_l,-1.91095507078,-1.92684503876,0.314055070359,0.321366786191,0.108339660601
hg2_l,-0.652495846697,-0.728606097623,0.404091764404,0.451043855642,0.0361354481686
hg3_l,-0.00667763022053,0.0104644599895,0.668914933802,4.8022008238,0.0200000789102
hg4_l,-0.0237621691942,0.0584311273461,0.112141637154,4.91687675878,0.151146466502
b1_r,-8.01672535579,-8.02792162775,0.869316265104,0.877733546481,-0.0151334395398
b2_r,-0.0194465407074,0.012197931604,0.53222481935,0.206561928944,0.368892241565
b3_r,0.0736149384634,-0.00644888601985,0.357675078585,0.357684226262,0.19460274512
i1_r,0.056048666873,-0.238157780888,0.373233764711,0.373233772065,0.292569814763
i2_r,35.3481045775,35.0596979795,0.634834354423,0.638591880815,0.212477207941
iii1_r,8.89938591165,8.88664668122,1.48503578138,1.51227155363,0.38924060172
iii3_r,226.881065444,0.255590110907,10109.9330657,0.348050577455,0.217124620711
hg1_r,0.230417210307,-151.695595596,0.680552349941,-5991.32898072,0.321875702461
hg2_r,0.200684385256,0.0306113083551,0.657312824554,0.657316066243,0.233190617825
hg3_r,1.77784342744,1.64431911614,2.36273820479,2.28525798574,0.00885140764173
hg4_r,0.143478199852,0.121004092722,0.578401734885,3.79672728909,0.14811100025
