,K1,muscle,stimulus,tau1,tau_a,theta
b1_l,192.979716827,b1_l,yaw_right,11126.2980847,11126.2980847,0.959060312562
b2_l,-0.296619906069,b2_l,yaw_right,0.841462818042,0.841462818042,0.0108573006306
b3_l,0.153729722306,b3_l,yaw_right,0.977216864425,0.977216864425,-0.130650722389
i1_l,-0.0150618740487,i1_l,yaw_right,0.0331088501212,0.0331088501212,0.0551043772087
i2_l,0.0422340050972,i2_l,yaw_right,2.25092192536,2.25092192536,-0.0729044195665
iii1_l,-0.502163852502,iii1_l,yaw_right,1.39568747615,1.39568747615,0.0836621675753
iii3_l,-0.886562647382,iii3_l,yaw_right,9.54990195015,9.54990195015,0.157291051761
hg1_l,-0.0389179765145,hg1_l,yaw_right,0.0992732746904,0.0992732746904,0.0625334665837
hg2_l,-0.206018235444,hg2_l,yaw_right,1.2292318282,1.2292318282,0.0200001207147
hg3_l,0.0148335738717,hg3_l,yaw_right,0.215792472686,0.215792472686,0.71999559113
hg4_l,1981.7571009,hg4_l,yaw_right,26705.7761109,26705.7761109,1.06399696781
b1_r,-0.0177948246858,b1_r,yaw_right,0.00169162375653,0.00169162375653,1.18001855746
b2_r,2763.67973813,b2_r,yaw_right,24841.434719,24841.434719,0.0523587747527
b3_r,-0.348895646365,b3_r,yaw_right,1.40159285789,1.40159285789,0.0799999530713
i1_r,-0.542030414213,i1_r,yaw_right,0.818064862464,0.818064862464,0.0738677814278
i2_r,-0.433574053159,i2_r,yaw_right,1.42064115065,1.42064115065,-0.0197936340321
iii1_r,-0.231156620426,iii1_r,yaw_right,0.691062618906,0.691062618906,0.0506008285602
iii3_r,0.451687729446,iii3_r,yaw_right,0.636610302391,0.636610302391,0.0338447238361
hg1_r,-0.401082308065,hg1_r,yaw_right,0.833018964654,0.833018964654,0.0861014675053
hg2_r,-0.330368429223,hg2_r,yaw_right,1.30713476253,1.30713476253,0.105074898552
hg3_r,5.66003125412e-29,hg3_r,yaw_right,0.249999998009,0.249999998009,0.10000000064
hg4_r,-0.263692457625,hg4_r,yaw_right,0.439287833031,0.439287833031,-0.00995287366334
